date,Open,High,Low,price_usd,volume_usd,crypto,source
17-08-2017,4261.48,4485.39,4200.74,4285.08,795.150377,BTC,Binance CSV
18-08-2017,4285.08,4371.52,3938.77,4108.37,1199.888264,BTC,Binance CSV
19-08-2017,4108.37,4184.69,3850.0,4139.98,381.309763,BTC,Binance CSV
20-08-2017,4139.98,4211.08,4032.62,4086.29,467.083022,BTC,Binance CSV
21-08-2017,4069.13,4119.62,3911.79,4016.0,691.74306,BTC,Binance CSV
22-08-2017,4016.0,4104.82,3400.0,4040.0,966.684858,BTC,Binance CSV
23-08-2017,4040.0,4265.8,4013.89,4114.01,1001.136565,BTC,Binance CSV
24-08-2017,4147.0,4371.68,4085.01,4316.01,787.418753,BTC,Binance CSV
25-08-2017,4316.01,4453.91,4247.48,4280.68,573.61274,BTC,Binance CSV
26-08-2017,4280.68,4367.0,4212.41,4337.44,228.108068,BTC,Binance CSV
27-08-2017,4332.51,4400.0,4285.54,4310.01,350.692585,BTC,Binance CSV
28-08-2017,4310.01,4399.82,4124.54,4386.69,603.841616,BTC,Binance CSV
29-08-2017,4386.69,4625.85,4313.55,4587.48,603.545028,BTC,Binance CSV
30-08-2017,4587.48,4647.51,4416.01,4555.14,808.468771,BTC,Binance CSV
31-08-2017,4555.14,4745.42,4555.14,4724.89,556.956802,BTC,Binance CSV
01-09-2017,4724.89,4885.55,4654.88,4834.91,560.666366,BTC,Binance CSV
02-09-2017,4834.91,4939.19,4286.87,4472.14,929.148595,BTC,Binance CSV
03-09-2017,4508.5,4714.76,4298.33,4509.08,691.216198,BTC,Binance CSV
04-09-2017,4509.08,4527.49,3972.51,4100.11,1394.644614,BTC,Binance CSV
05-09-2017,4106.97,4484.99,3603.0,4366.47,1228.938157,BTC,Binance CSV
06-09-2017,4366.49,4662.87,4335.26,4619.77,807.363726,BTC,Binance CSV
07-09-2017,4619.77,4788.59,4438.19,4691.61,500.429975,BTC,Binance CSV
08-09-2017,4691.61,4735.39,4028.93,4282.8,1132.255046,BTC,Binance CSV
09-09-2017,4282.8,4426.62,4150.06,4258.81,658.782952,BTC,Binance CSV
10-09-2017,4258.81,4283.0,3801.0,4130.37,660.373275,BTC,Binance CSV
11-09-2017,4153.62,4334.43,4098.91,4208.47,699.989065,BTC,Binance CSV
12-09-2017,4208.6,4394.59,4040.8,4163.72,879.630319,BTC,Binance CSV
13-09-2017,4159.72,4165.38,3760.0,3944.69,913.462545,BTC,Binance CSV
14-09-2017,3944.0,3993.0,3165.13,3189.02,1665.021543,BTC,Binance CSV
15-09-2017,3188.01,3856.0,2817.0,3700.0,1968.866492,BTC,Binance CSV
16-09-2017,3674.01,3950.0,3470.66,3714.95,1297.563953,BTC,Binance CSV
17-09-2017,3685.23,3748.21,3499.02,3699.99,682.17121,BTC,Binance CSV
18-09-2017,3699.99,4123.2,3690.0,4035.01,1030.006455,BTC,Binance CSV
19-09-2017,4060.0,4089.97,3830.91,3910.04,902.332129,BTC,Binance CSV
20-09-2017,3910.04,4046.08,3820.0,3900.0,720.935076,BTC,Binance CSV
21-09-2017,3900.0,3910.0,3567.0,3609.99,1001.654084,BTC,Binance CSV
22-09-2017,3609.99,3750.0,3505.55,3595.87,838.966425,BTC,Binance CSV
23-09-2017,3595.88,3817.19,3542.91,3780.0,752.792791,BTC,Binance CSV
24-09-2017,3779.54,3789.99,3622.76,3660.02,661.63639,BTC,Binance CSV
25-09-2017,3660.02,3979.87,3653.69,3920.75,727.994713,BTC,Binance CSV
26-09-2017,3928.0,3976.99,3850.05,3882.35,526.727987,BTC,Binance CSV
27-09-2017,3882.35,4249.94,3872.81,4193.0,628.170966,BTC,Binance CSV
28-09-2017,4193.0,4300.0,4101.0,4174.5,849.7853250000001,BTC,Binance CSV
29-09-2017,4174.5,4263.86,3952.01,4174.69,1602.309565,BTC,Binance CSV
30-09-2017,4175.0,4380.0,4138.1,4378.51,720.3531830000001,BTC,Binance CSV
01-10-2017,4378.49,4406.52,4240.04,4378.48,726.9636849999999,BTC,Binance CSV
02-10-2017,4400.0,4561.63,4360.0,4380.0,655.756974,BTC,Binance CSV
03-10-2017,4380.0,4467.33,4180.8,4310.0,1082.323563,BTC,Binance CSV
04-10-2017,4310.0,4373.0,4142.0,4208.59,868.465101,BTC,Binance CSV
05-10-2017,4208.59,4355.0,4110.0,4292.43,779.138638,BTC,Binance CSV
06-10-2017,4318.99,4417.0,4292.0,4369.0,506.529176,BTC,Binance CSV
07-10-2017,4369.0,4479.5,4312.56,4423.0,297.5975,BTC,Binance CSV
08-10-2017,4425.0,4658.0,4425.0,4640.0,518.462004,BTC,Binance CSV
09-10-2017,4640.0,4889.98,4550.0,4786.95,646.463145,BTC,Binance CSV
10-10-2017,4786.95,4960.0,4680.59,4783.06,1043.221773,BTC,Binance CSV
11-10-2017,4783.06,4881.61,4710.0,4821.43,753.429396,BTC,Binance CSV
12-10-2017,4821.43,5439.99,4810.16,5430.0,1276.701482,BTC,Binance CSV
13-10-2017,5430.0,5846.17,5379.84,5649.98,1879.82762,BTC,Binance CSV
14-10-2017,5650.0,5900.0,5580.01,5869.99,970.759046,BTC,Binance CSV
15-10-2017,5855.03,5922.3,5400.01,5709.99,1343.523375,BTC,Binance CSV
16-10-2017,5710.0,5788.91,5585.19,5760.02,1528.996462,BTC,Binance CSV
17-10-2017,5760.0,5774.98,5508.63,5595.0,1429.869376,BTC,Binance CSV
18-10-2017,5595.0,5596.0,5037.95,5512.06,2317.804373,BTC,Binance CSV
19-10-2017,5513.0,5710.0,5490.26,5683.9,1881.722107,BTC,Binance CSV
20-10-2017,5683.9,6110.0,5600.0,6010.01,1972.97722,BTC,Binance CSV
21-10-2017,6013.72,6171.0,5850.03,6024.97,1664.307693,BTC,Binance CSV
22-10-2017,6024.97,6060.0,5720.03,5950.02,1362.092216,BTC,Binance CSV
23-10-2017,5950.02,6080.0,5621.03,5915.93,1812.557715,BTC,Binance CSV
24-10-2017,5909.47,5925.0,5450.0,5477.03,2580.418767,BTC,Binance CSV
25-10-2017,5477.03,5704.96,5286.98,5689.99,2282.813205,BTC,Binance CSV
26-10-2017,5689.99,5939.99,5650.0,5861.77,1972.965882,BTC,Binance CSV
27-10-2017,5861.77,5980.0,5649.24,5768.83,1403.706416,BTC,Binance CSV
28-10-2017,5768.83,5850.02,5630.03,5719.64,1276.754412,BTC,Binance CSV
29-10-2017,5719.64,6189.88,5648.01,6169.98,1804.778173,BTC,Binance CSV
30-10-2017,6133.01,6248.68,6030.0,6120.5,1473.687043,BTC,Binance CSV
31-10-2017,6120.5,6498.01,6100.0,6463.0,1511.774925,BTC,Binance CSV
01-11-2017,6463.0,6774.67,6338.02,6753.98,1675.615188,BTC,Binance CSV
02-11-2017,6753.98,7300.0,6685.1,7019.98,2503.610803,BTC,Binance CSV
03-11-2017,7010.31,7346.34,6923.0,7115.04,1891.497592,BTC,Binance CSV
04-11-2017,7115.02,7480.99,6901.0,7357.09,1399.191767,BTC,Binance CSV
05-11-2017,7357.27,7590.25,7279.02,7345.01,1207.83233,BTC,Binance CSV
06-11-2017,7345.1,7401.0,6906.0,6960.12,1763.019261,BTC,Binance CSV
07-11-2017,6981.72,7198.49,6901.0,7064.04,1440.259494,BTC,Binance CSV
08-11-2017,7064.04,7770.02,6651.0,7303.0,2822.298802,BTC,Binance CSV
09-11-2017,7303.01,7392.0,7015.0,7079.99,1913.398308,BTC,Binance CSV
10-11-2017,7079.0,7279.91,6255.01,6506.98,3254.704105,BTC,Binance CSV
11-11-2017,6503.0,6797.98,6100.0,6245.05,2754.156861,BTC,Binance CSV
12-11-2017,6245.05,6630.0,5325.01,5811.03,4968.483069,BTC,Binance CSV
13-11-2017,5839.94,6697.47,5699.99,6465.99,2621.243039,BTC,Binance CSV
14-11-2017,6465.99,6684.98,6311.07,6574.99,1254.292531,BTC,Binance CSV
15-11-2017,6575.99,7298.0,6575.99,7240.06,1779.605845,BTC,Binance CSV
16-11-2017,7240.14,7940.0,7076.0,7864.5,2331.95675,BTC,Binance CSV
17-11-2017,7876.98,7989.0,7451.0,7699.19,3982.395925,BTC,Binance CSV
18-11-2017,7699.19,7819.99,7422.0,7761.94,3954.266477,BTC,Binance CSV
19-11-2017,7761.94,8123.15,7650.33,8038.0,3867.340444,BTC,Binance CSV
20-11-2017,8057.11,8319.99,7954.0,8212.0,3886.634348,BTC,Binance CSV
21-11-2017,8212.49,8400.0,7801.0,8119.51,4544.474016,BTC,Binance CSV
22-11-2017,8119.51,8322.68,8091.09,8205.92,3545.00571,BTC,Binance CSV
23-11-2017,8233.03,8260.0,8000.0,8019.99,4093.952687,BTC,Binance CSV
24-11-2017,8019.97,8369.0,7850.0,8138.0,4411.789112,BTC,Binance CSV
25-11-2017,8138.99,8734.78,8090.0,8700.01,4292.623682,BTC,Binance CSV
26-11-2017,8700.04,9350.0,8604.72,9128.02,4147.380237,BTC,Binance CSV
27-11-2017,9128.0,9654.28,9112.04,9650.0,4521.625707,BTC,Binance CSV
28-11-2017,9650.0,9939.0,9570.5,9896.8,4917.210985,BTC,Binance CSV
29-11-2017,9896.79,11300.03,8520.0,9687.88,13352.538715,BTC,Binance CSV
30-11-2017,9687.88,10900.0,8850.8,9838.96,9389.574329,BTC,Binance CSV
01-12-2017,9837.0,10898.0,9380.0,10782.99,6134.923633,BTC,Binance CSV
02-12-2017,10775.04,11190.0,10620.0,10890.01,4765.439757,BTC,Binance CSV
03-12-2017,10902.69,11825.0,10500.0,11165.41,5346.636524,BTC,Binance CSV
04-12-2017,11165.41,11600.0,10802.0,11579.0,4663.424562,BTC,Binance CSV
05-12-2017,11571.03,11853.0,11447.68,11699.99,5550.732055,BTC,Binance CSV
06-12-2017,11699.99,13615.23,11665.58,13550.05,6707.946319,BTC,Binance CSV
07-12-2017,13541.01,16649.96,13050.0,16599.0,7487.065695,BTC,Binance CSV
08-12-2017,16599.0,17204.99,14015.0,15880.0,17589.013136,BTC,Binance CSV
09-12-2017,15880.01,16269.3,12535.0,14656.07,13918.758687,BTC,Binance CSV
10-12-2017,14664.01,15720.12,12368.0,14899.98,16553.037173,BTC,Binance CSV
11-12-2017,14946.26,17470.0,14901.08,16587.97,11820.401762,BTC,Binance CSV
12-12-2017,16587.97,16976.45,15875.0,16349.99,9436.802411,BTC,Binance CSV
13-12-2017,16349.99,16546.0,14666.56,16033.29,12416.328801,BTC,Binance CSV
14-12-2017,16030.34,16445.0,15450.0,16334.98,11616.867151,BTC,Binance CSV
15-12-2017,16334.98,17991.0,16298.45,17539.83,9181.273947,BTC,Binance CSV
16-12-2017,17516.81,19539.0,17190.01,19102.66,4202.628709,BTC,Binance CSV
17-12-2017,19120.19,19798.68,18510.0,18860.02,9177.183434,BTC,Binance CSV
18-12-2017,18860.04,19300.0,17029.98,18856.25,10624.633071,BTC,Binance CSV
19-12-2017,18856.25,18950.0,16300.0,17295.2,13210.74822,BTC,Binance CSV
20-12-2017,17295.2,17720.35,14777.66,16488.98,13450.496693,BTC,Binance CSV
21-12-2017,16480.52,17309.5,14022.0,15492.64,20324.2173,BTC,Binance CSV
22-12-2017,15514.03,15699.34,10961.0,13326.61,36076.271175,BTC,Binance CSV
23-12-2017,13326.61,14950.0,12978.18,13300.0,13141.538875,BTC,Binance CSV
24-12-2017,13300.0,13819.99,11640.0,13500.0,28557.534988,BTC,Binance CSV
25-12-2017,13500.0,14300.0,12708.0,13699.34,15748.207607,BTC,Binance CSV
26-12-2017,13699.34,16050.0,13533.0,15689.01,15034.668104,BTC,Binance CSV
27-12-2017,15709.98,16498.05,14200.15,15459.99,14959.864723,BTC,Binance CSV
28-12-2017,15459.97,15539.99,13150.0,14182.11,21717.858014,BTC,Binance CSV
29-12-2017,14199.14,14981.0,13850.0,14378.9,18072.008116,BTC,Binance CSV
30-12-2017,14378.99,14398.85,11750.0,12440.01,19221.158039,BTC,Binance CSV
31-12-2017,12345.1,14050.11,12149.98,13716.36,11768.989718,BTC,Binance CSV
01-01-2018,13715.65,13818.55,12750.0,13380.0,8609.915844,BTC,Binance CSV
02-01-2018,13382.16,15473.49,12890.02,14675.11,20078.092111,BTC,Binance CSV
03-01-2018,14690.0,15307.56,14150.0,14919.51,15905.667639,BTC,Binance CSV
04-01-2018,14919.51,15280.0,13918.04,15059.54,21329.649574,BTC,Binance CSV
05-01-2018,15059.56,17176.24,14600.0,16960.39,23251.491125,BTC,Binance CSV
06-01-2018,16960.39,17143.13,16011.21,17069.79,18571.457508,BTC,Binance CSV
07-01-2018,17069.79,17099.96,15610.0,16150.03,12493.125558,BTC,Binance CSV
08-01-2018,16218.85,16322.3,12812.0,14902.54,26600.609912,BTC,Binance CSV
09-01-2018,14902.54,15500.0,14011.05,14400.0,14315.004253,BTC,Binance CSV
10-01-2018,14401.0,14955.66,13131.31,14907.09,17411.001655,BTC,Binance CSV
11-01-2018,14940.0,14968.68,11400.0,13238.78,33554.723751,BTC,Binance CSV
12-01-2018,13238.76,14109.78,12500.0,13740.01,16417.162137,BTC,Binance CSV
13-01-2018,13749.95,14580.0,13706.15,14210.0,12221.508528,BTC,Binance CSV
14-01-2018,14210.0,14339.5,12569.2,13474.99,17017.894329,BTC,Binance CSV
15-01-2018,13477.98,14249.99,13147.79,13539.93,14652.094705,BTC,Binance CSV
16-01-2018,13500.0,13542.93,9035.0,10900.0,63401.169175,BTC,Binance CSV
17-01-2018,10899.99,11680.99,9037.94,10988.79,72331.796646,BTC,Binance CSV
18-01-2018,10972.59,11878.82,10435.33,10961.97,48464.434937,BTC,Binance CSV
19-01-2018,10960.0,11795.0,10360.0,11474.98,34129.375421,BTC,Binance CSV
20-01-2018,11474.98,13099.0,11412.45,12799.94,28768.857827,BTC,Binance CSV
21-01-2018,12799.8,12799.8,10965.0,11530.0,41379.773426,BTC,Binance CSV
22-01-2018,11530.0,11926.35,9900.24,10760.05,43752.606791,BTC,Binance CSV
23-01-2018,10760.05,11399.0,9905.0,10799.18,37473.922552,BTC,Binance CSV
24-01-2018,10799.14,11570.48,10500.0,11349.99,27158.587762,BTC,Binance CSV
25-01-2018,11349.96,11794.05,10950.21,11175.27,20839.954183,BTC,Binance CSV
26-01-2018,11184.7,11643.0,10311.15,11089.0,33056.87196,BTC,Binance CSV
27-01-2018,11089.0,11650.0,10842.69,11491.0,18860.768345,BTC,Binance CSV
28-01-2018,11499.98,12244.0,11408.0,11879.95,16887.339524,BTC,Binance CSV
29-01-2018,11879.95,11975.02,11139.55,11251.0,14170.377538,BTC,Binance CSV
30-01-2018,11250.11,11308.42,9900.0,10237.51,25554.372946,BTC,Binance CSV
31-01-2018,10230.0,10425.85,9700.0,10285.1,18015.956805,BTC,Binance CSV
01-02-2018,10285.1,10335.0,8750.99,9224.52,33564.764311,BTC,Binance CSV
02-02-2018,9224.52,9250.0,8010.02,8873.03,49971.626975,BTC,Binance CSV
03-02-2018,8873.03,9473.01,8229.0,9199.96,28725.000735,BTC,Binance CSV
04-02-2018,9199.96,9368.0,7930.0,8184.81,32014.308449,BTC,Binance CSV
05-02-2018,8179.99,8382.8,6625.0,6939.99,63403.182579,BTC,Binance CSV
06-02-2018,6939.63,7878.0,6000.01,7652.14,100201.500307,BTC,Binance CSV
07-02-2018,7655.02,8476.0,7150.01,7599.0,60778.460497,BTC,Binance CSV
08-02-2018,7599.0,7844.0,7572.09,7784.02,1521.537318,BTC,Binance CSV
09-02-2018,7789.9,8738.0,7789.9,8683.92,20482.910825,BTC,Binance CSV
10-02-2018,8683.93,9065.78,8120.0,8533.98,49381.512653,BTC,Binance CSV
11-02-2018,8533.99,8549.0,7726.53,8063.88,45025.187952,BTC,Binance CSV
12-02-2018,8063.82,8989.0,8053.0,8903.0,41987.85049,BTC,Binance CSV
13-02-2018,8903.0,8950.0,8351.0,8539.9,35454.972956,BTC,Binance CSV
14-02-2018,8535.17,9489.6,8533.0,9449.99,40811.952867,BTC,Binance CSV
15-02-2018,9449.98,10219.5,9301.5,10000.09,52427.596715,BTC,Binance CSV
16-02-2018,10000.89,10323.37,9666.0,10159.98,38161.205974,BTC,Binance CSV
17-02-2018,10156.07,11075.07,10050.0,11039.55,41882.108407,BTC,Binance CSV
18-02-2018,11039.55,11274.0,10080.0,10383.43,61137.380728,BTC,Binance CSV
19-02-2018,10375.01,11250.0,10270.33,11153.0,40831.417131,BTC,Binance CSV
20-02-2018,11147.11,11786.01,11100.59,11200.99,48153.354288,BTC,Binance CSV
21-02-2018,11195.07,11304.03,10200.0,10437.6,68113.818754,BTC,Binance CSV
22-02-2018,10439.02,10933.44,9679.0,9811.04,67060.166483,BTC,Binance CSV
23-02-2018,9815.55,10435.0,9570.19,10131.04,57202.70237,BTC,Binance CSV
24-02-2018,10131.04,10496.97,9352.0,9694.51,40888.156299,BTC,Binance CSV
